playlist_index,playlist_name,profile,context_preview,target,recs_top10,hit@10
10,"""Annat""",size=medium; target_pop=head,"""jonathan johansson"" - ""aldrig ensam"" | ""jonathan johansson"" - ""alla färger"" | ""ivan & alyosha"" - ""beautiful lie"" | ""fleetwood mac"" - ""big love"" | ""blue lagoon"" - ""break my stride (radio edit)""","""sbtrkt"" - ""wildfire (feat. little dragon)""","""fleetwood mac"" - ""family man"" | ""jonathan johansson"" - ""du sa"" | ""gyllene tider"" - ""ljudet av ett annat hjärta"" | ""fleetwood mac"" - ""mystified"" | ""teddybears"" - ""cardiac arrest"" | ""jonathan johansson"" - ""alla vill ha hela världen"" | ""neon indian"" - ""future sick"" | ""fleetwood mac"" - ""isn't it midnight"" | ""gorillaz"" - ""feel good inc"" | ""fleetwood mac"" - ""little lies""",0
11,"""April 2014""",size=long; target_pop=tail,"""the chainsmokers"" - ""#selfie"" | ""alexis weak"" - ""112"" | ""yeasayer"" - ""2080"" | ""sky ferreira"" - ""24 hours"" | ""ben sollee"" - ""a change is gonna come""","""amason"" - ""ålen""","""angel olsen"" - ""enemy"" | ""lykke li"" - ""heart of steel"" | ""angel olsen"" - ""dance slow decades"" | ""arcade fire"" - ""flashbulb eyes"" | ""foals"" - ""out of the woods"" | ""lykke li"" - ""never gonna love again"" | ""modest mouse"" - ""never ending math equation"" | ""marilyn manson"" - ""disassociative"" | ""sky ferreira"" - ""ain’t your right"" | ""nashville cast"" - ""wayfaring stranger - a cappella version""",0
12,"""August 2014""",size=long; target_pop=mid,"""vånna inget"" - ""allvar"" | ""green day"" - ""android"" | ""nina persson"" - ""animal heart"" | ""makthaverskan"" - ""antabus"" | ""mike mogis"" - ""at your door - feat. big harp""","""bipolar sunshine"" - ""where did the love go""","""nina persson"" - ""burning bridges for fuel"" | ""green day"" - ""best thing in town"" | ""nina persson"" - ""catch me crying"" | ""the american analog set"" - ""born on the cusp"" | ""abba"" - ""honey honey - swedish version"" | ""makthaverskan"" - ""asleep"" | ""alt-j"" - ""leaving nara"" | ""nina persson"" - ""digestif"" | ""noah and the whale"" - ""hold my hand as i'm lowered"" | ""noah and the whale"" - ""mary""",0
13,"""E.""",size=long; target_pop=head,"""keaton henson"" - ""10am gare du nord"" | ""ivan & alyosha"" - ""all this wandering around"" | ""peter bjorn and john"" - ""amsterdam"" | ""kyla la grange"" - ""big eyes"" | ""death cab for cutie"" - ""bixby canyon bridge""","""daughter"" - ""youth""","""daughter"" - ""shallows"" | ""daughter"" - ""tomorrow"" | ""death cab for cutie"" - ""pity and fear"" | ""death cab for cutie"" - ""long division"" | ""death cab for cutie"" - ""grapevine fires"" | ""death cab for cutie"" - ""someday you will be loved"" | ""lord huron"" - ""la belle fleur sauvage"" | ""death cab for cutie"" - ""different names for the same thing"" | ""death cab for cutie"" - ""doors unlocked and open"" | ""ivan & alyosha"" - ""bury me deep""",0
14,"""February 2015""",size=medium; target_pop=mid,"""first aid kit"" - ""america"" | ""enrique iglesias"" - ""bailando - spanish version"" | ""sameblod"" - ""flourish"" | ""icona pop"" - ""get lost"" | ""ron van den beuken"" - ""headlock - radio edit""","""josé gonzález"" - ""with the ink of a ghost""","""josé gonzález"" - ""vissel"" | ""first aid kit"" - ""the bell"" | ""first aid kit"" - ""shattered & hollow"" | ""icona pop"" - ""then we kiss"" | ""josé gonzález"" - ""open book"" | ""caribou"" - ""mars"" | ""josé gonzález"" - ""what will"" | ""first aid kit"" - ""fleeting one"" | ""icona pop"" - ""on a roll"" | ""first aid kit"" - ""heaven knows""",0
15,"""July 2014""",size=long; target_pop=head,"""the raveonettes"" - ""attack of the ghost riders"" | ""ebbot lundberg"" - ""backdrop people"" | ""sohn"" - ""bloodflows"" | ""mac demarco"" - ""blue boy"" | ""jay z"" - ""brooklyn's finest""","""slowdive"" - ""when the sun hits""","""mac demarco"" - ""go easy"" | ""mac demarco"" - ""jonny's odyssey"" | ""mac demarco"" - ""let my baby stay"" | ""the twilight sad"" - ""it never was the same"" | ""them crooked vultures"" - ""spinning in daffodils"" | ""tegan and sara"" - ""city girl"" | ""zz top"" - ""heartache in blue"" | ""young the giant"" - ""camera"" | ""interpol"" - ""roland"" | ""sohn"" - ""tremors""",0
16,"""June 2014""",size=long; target_pop=tail,"""soundgarden"" - ""4th of july"" | ""the big pink"" - ""a brief history of love"" | ""steve mason"" - ""a lot of love"" | ""clean bandit"" - ""a+e (feat. kandaka moore & nikki cislyn)"" | ""the big pink"" - ""at war with the sun""","""kyla la grange"" - ""white doves""","""lana del rey"" - ""guns and roses"" | ""the big pink"" - ""frisk"" | ""lana del rey"" - ""florida kilos"" | ""queens of the stone age"" - ""keep your eyes peeled"" | ""clean bandit"" - ""a+e (feat. bbc philharmonic orchestra & nikki cislyn)"" | ""sia"" - ""cellophane"" | ""queens of the stone age"" - ""kalopsia"" | ""sia"" - ""free the animal"" | ""ride"" - ""from time to time"" | ""nirvana"" - ""radio friendly unit shifter""",0
17,"""March 2014""",size=long; target_pop=tail,"""the stone roses"" - ""(song for my) sugar spun sister - remastered"" | ""lucinda williams"" - ""2 kool 2 be 4-gotten"" | ""elvis presley"" - ""a little less conversation"" | ""elvis presley"" - ""a little less conversation - jxl radio edit remix"" | ""pixies"" - ""another toe in the ocean""","""graham parker & the rumour"" - ""you can't be too strong""","""the stone roses"" - ""don't stop - remastered"" | ""mgmt"" - ""the handshake"" | ""david bowie"" - ""the man who sold the world - 2014 remastered version"" | ""the white stripes"" - ""i can learn"" | ""the white stripes"" - ""now mary"" | ""arctic monkeys"" - ""i want it all"" | ""green day"" - ""homecoming"" | ""david bowie"" - ""changes - 2014 remastered version"" | ""pixies"" - ""broken face (remastered)"" | ""david bowie"" - ""rebel rebel - 2014 remastered version""",0
18,"""May 2014""",size=long; target_pop=head,"""janis joplin"" - ""a woman left lonely"" | ""graveyard"" - ""ain't fit to live here"" | ""say anything"" - ""alive with the glory of love"" | ""the knocks"" - ""all we got"" | ""shearwater"" - ""ambiguity""","""seinabo sey"" - ""younger - kygo remix""","""abba"" - ""that's me"" | ""janis joplin"" - ""misery'n"" | ""against me!"" - ""osama bin laden as the crucified christ"" | ""abba"" - ""head over heels"" | ""against me!"" - ""bamboo bones"" | ""chase & status"" - ""gun metal grey"" | ""against me!"" - ""spanish moss"" | ""abba"" - ""so long"" | ""lana del rey"" - ""million dollar man"" | ""janis joplin"" - ""raise your hand - live""",0
19,"""Money makes the world go round """,size=medium; target_pop=head,"""warrant"" - ""32 pennies"" | ""wiley"" - ""cash in my pocket ft daniel merriweather"" | ""penguin prison"" - ""don't fuck with my money"" | ""nils landgren funk unit"" - ""get serious get a job"" | ""a$ap rocky"" - ""goldie""","""britney spears"" - ""work b**ch""","""lana del rey"" - ""the other woman"" | ""a$ap rocky"" - ""lvl"" | ""lykke li"" - ""silent my song"" | ""pink floyd"" - ""the great gig in the sky - 2011 remastered version"" | ""darin"" - ""dance"" | ""frank ocean"" - ""start"" | ""a$ap rocky"" - ""long live a$ap"" | ""lana del rey"" - ""cruel world"" | ""lana del rey"" - ""sad girl"" | ""the black eyed peas"" - ""disco club""",0
