playlist_index,playlist_name,profile,context_preview,target,recs_top10,hit@10
10,"""Sounds like PassionMGMT""",size=medium; target_pop=head,"""mgmt"" - ""congratulations"" | ""mgmt"" - ""electric feel"" | ""mgmt"" - ""electric feel - justice remix"" | ""phoenix"" - ""everything is everything"" | ""passion pit"" - ""eyes as candles""","""mgmt"" - ""the youth""","""passion pit"" - ""make light"" | ""lady gaga"" - ""just dance - richard vission remix"" | ""phoenix"" - ""long distance call"" | ""mgmt"" - ""i found a whistle"" | ""mgmt"" - ""the youth"" | ""mgmt"" - ""time to pretend"" | ""passion pit"" - ""let your love grow tall"" | ""phoenix"" - ""congratulations"" | ""phoenix"" - ""love like a sunset part i"" | ""phoenix"" - ""courtesy laughs""",1
11,"""ooh wee!""",size=long; target_pop=tail,"""the weeknd"" - ""02 what you need"" | ""robin thicke"" - ""2 the sky"" | ""drake"" - ""a night off (feat. lloyd)"" | ""mariah carey"" - ""bliss"" | ""drake"" - ""bria's interlude (feat. omarion)""","""amerie"" - ""you're a star (interlude)""","""robin thicke"" - ""diamonds"" | ""robin thicke"" - ""dreamworld"" | ""robin thicke"" - ""all night long"" | ""amerie"" - ""all i need"" | ""the weeknd"" - ""thursday"" | ""quadron"" - ""day"" | ""robin thicke"" - ""elevatas"" | ""little dragon"" - ""little man"" | ""bruno mars"" - ""somewhere in brooklyn"" | ""little dragon"" - ""precious""",0
12,"""London""",size=short; target_pop=head,"""crystal fighters"" - ""i love london"" | ""jamie t"" - ""if you got the money"" | ""the clash"" - ""london calling"" | ""electric light orchestra"" - ""mr blue sky"" | ""madness"" - ""our house""","""pet shop boys"" - ""west end girls - 2001 remastered version""","""crystal fighters"" - ""i do this everyday"" | ""the stranglers"" - ""nice n' sleazy"" | ""jamie t"" - ""brand new bass guitar"" | ""crystal fighters"" - ""in the summer"" | ""the stranglers"" - ""no more heroes"" | ""jamie t"" - ""back in the game"" | ""crystal fighters"" - ""solar system"" | ""the stranglers"" - ""london lady"" | ""jamie t"" - ""dry off your cheeks"" | ""madness"" - ""one step beyond""",0
13,"""Love""",size=long; target_pop=head,"""thomas dybdahl"" - ""a love story"" | ""u2"" - ""a man and a woman"" | ""u2"" - ""all i want is you"" | ""datarock"" - ""amarillion"" | ""michael cera & ellen page"" - ""anyone else but you""","""the wannadies"" - ""you and me song""","""u2"" - ""love and peace or else"" | ""robin thicke"" - ""the sweetest love"" | ""thomas dybdahl"" - ""b a part"" | ""ne-yo"" - ""sexy love"" | ""john legend"" - ""no other love"" | ""u2"" - ""all because of you"" | ""radiohead"" - ""the bends"" | ""kings of convenience"" - ""freedom and its owner"" | ""lauryn hill"" - ""nothing even matters"" | ""maroon 5"" - ""sunday morning""",0
14,"""new in""",size=long; target_pop=head,"""the rolling stones"" - ""(i can't get no) satisfaction - mono version"" | ""john lennon"" - ""(just like) starting over"" | ""otis redding"" - ""(sittin' on) the dock of the bay"" | ""kanye west"" - ""**bonus track** diamonds from sierra leone"" | ""drake"" - ""0 to 100 / the catch up""","""stromae"" - ""tous les mêmes""","""finn kalvik"" - ""aldri i livet"" | ""lillebjørn nilsen"" - ""alexander kiellands plass"" | ""razika"" - ""above all"" | ""crystal fighters"" - ""i do this everyday"" | ""the black eyed peas"" - ""latin girls"" | ""thin lizzy"" - ""downtown sundown"" | ""jamie t"" - ""brand new bass guitar"" | ""yann tiersen"" - ""la noyée"" | ""radiohead"" - ""lucky"" | ""new order"" - ""here to stay - radio edit""",0
15,"""La Mejor Música en Español""",size=long; target_pop=tail,"""sergio contreras"" - ""#amor - feat. fernando caro"" | ""delafe y las flores azules"" - ""1984"" | ""mäbu"" - ""a solas"" | ""carlos baute"" - ""amarte bien - feat. juan magan remix"" | ""maná"" - ""amor clandestino""","""la musicalité"" - ""última noche en la tierra""","""vanesa martín"" - ""arrancame"" | ""vanesa martín"" - ""despues de soltarnos"" | ""second"" - ""autodestructivos - directo 15"" | ""maná"" - ""el rey tiburon"" | ""second"" - ""autodestructivos"" | ""fito y fitipaldis"" - ""ojos de serpiente"" | ""sergio dalma"" - ""el jardín prohibido - directo"" | ""vanesa martín"" - ""borracha de amor"" | ""pastora soler"" - ""cambiando"" | ""jesse & joy"" - ""aquí voy - live""",0
16,"""Rock""",size=short; target_pop=head,"""the libertines"" - ""can't stand me now"" | ""the libertines"" - ""don’t look back into the sun"" | ""grateful dead"" - ""friend of the devil - remastered version"" | ""franz ferdinand"" - ""take me out"" | ""franz ferdinand"" - ""the dark of the matinée""","""the libertines"" - ""what a waster""","""grateful dead"" - ""ripple (remastered album version)"" | ""grateful dead"" - ""truckin' (remastered album version)"" | ""franz ferdinand"" - ""tell her tonight"" | ""grateful dead"" - ""estimated prophet (remastered album version)"" | ""franz ferdinand"" - ""jacqueline"" | ""grateful dead"" - ""franklin's tower (remastered album version)"" | ""franz ferdinand"" - ""michael"" | ""franz ferdinand"" - ""the fallen"" | ""grateful dead"" - ""the golden road [to unlimited devotion] (remastered album version)"" | ""grateful dead"" - ""fire on the mountain (remastered album version)""",0
17,"""Weird Al Yankovic""",size=short; target_pop=head,"""""weird al"" yankovic"" - ""amish paradise (parody of ""gangsta's paradise"" by coolio)"" | """"weird al"" yankovic"" - ""canadian idiot (parody of ""american idiot"" by green day)"" | """"weird al"" yankovic"" - ""eat it"" | """"weird al"" yankovic"" - ""ebay (parody of ""i want it that way"" by the backstreet boys)"" | """"weird al"" yankovic"" - ""hardware store""","""""weird al"" yankovic"" - ""white & nerdy (parody of ""ridin'"" by chamillionaire featuring krayzie bone)""","""""weird al"" yankovic"" - ""couch potato (parody of ""lose yourself"" by eminem)"" | """"weird al"" yankovic"" - ""angry white boy polka"" | """"weird al"" yankovic"" - ""craigslist"" | """"weird al"" yankovic"" - ""if that isn't love"" | """"weird al"" yankovic"" - ""a complicated song (parody of ""complicated"" by avril lavigne)"" | """"weird al"" yankovic"" - ""another tattoo (parody of ""nothin' on you"" by b.o.b. featuring bruno mars)"" | """"weird al"" yankovic"" - ""ringtone"" | """"weird al"" yankovic"" - ""bob"" | """"weird al"" yankovic"" - ""ode to a superhero (parody of ""piano man"" by billy joel)"" | """"weird al"" yankovic"" - ""skipper dan""",0
18,"""Coldplay – Ghost Stories""",size=short; target_pop=head,"""coldplay"" - ""a sky full of stars"" | ""coldplay"" - ""always in my head"" | ""coldplay"" - ""another's arms"" | ""coldplay"" - ""ink"" | ""coldplay"" - ""magic""","""coldplay"" - ""true love""","""coldplay"" - ""o (hidden track)"" | ""music4u"" - ""stay - instrumental version"" | ""coldplay"" - ""paradise"" | ""coldplay"" - ""true love"" | ""coldplay"" - ""trouble"" | ""coldplay"" - ""atlas (from ""the hunger games: catching fire"")"" | ""coldplay"" - ""midnight - kygo remix"" | ""coldplay"" - ""all your friends"" | ""far east movement"" - ""bang it to the curb"" | ""calvin harris"" - ""blame""",1
19,"""Glen Hansard - Rhythm And Repose""",size=medium; target_pop=head,"""glen hansard"" - ""bird of sorrow"" | ""glen hansard"" - ""come away to the water"" | ""glen hansard"" - ""high hope"" | ""glen hansard"" - ""love don't leave me waiting"" | ""glen hansard"" - ""maybe not tonight""","""glen hansard"" - ""you will become""","""glen hansard"" - ""a caution to the birds"" | ""glen hansard"" - ""cry me a river - today fm live recording"" | ""glen hansard"" - ""everytime - today fm live recording"" | ""neil young"" - ""song x"" | ""glen hansard"" - ""i couldn't say it to your face"" | ""barcelona"" - ""stars"" | ""youth group"" - ""start today tomorrow"" | ""glen hansard"" - ""christmas biscuits (in aid of st. vincent de paul)"" | ""glen hansard"" - ""pressing on"" | ""the moondoggies"" - ""stop signs""",0
